angular_section,amplitude0,desired_radius,period_factors,offset_factor_x,mid_factor_x,curve_weight,thickness_factor,thickness
10,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.1
20,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.2
30,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.3
40,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.4
50,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.5
60,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.6
70,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.7
80,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.8
90,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.9
100,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.8
110,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.7
120,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.6
130,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.5
140,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.4
150,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.3
160,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.2
170,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.1
180,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",1.0
190,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",0.9
200,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",0.8
210,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",0.7
220,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",0.6
230,20,25,"[1.0, 1.0, 1.0]",0,0,5.0,"[1.0, 1.0, 1.0]",0.5
