Prototype ID,export_folder,config_csv,use_linear_fast,arc_length
linear1,datasets,datasets/configs/linear1.csv,True,77.998479
linear2,datasets,datasets/configs/linear2.csv,True,82.579937
bending3,datasets,datasets/configs/bending3.csv,False,165.841994
bending4,datasets,datasets/configs/bending4.csv,False,134.737138
linear5,datasets,datasets/configs/linear5.csv,True,110.072530
bending6,datasets,datasets/configs/bending6.csv,False,110.620460
linear7,datasets,datasets/configs/linear7.csv,True,129.726519
bending8,datasets,datasets/configs/bending8.csv,False,167.111112
linear9,datasets,datasets/configs/linear9.csv,True,131.488545
bending10,datasets,datasets/configs/bending10.csv,False,152.942678
